id,Applicants MCC Licence No,Applicant Name,MCC Medicine Reg No ,Nappi Code,ATC 4 ,Medicine Schedule,Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,Originator or Generic,Volume of Sales,,,
11,125,Abbott Laboratories SA Pty Ltd,37/30.2/0252,705335001,L04AB,S4,Humira,Adalimumab,40,mg,INJ,0.8,2,7090.6,375.8,1045.29,8511.69,5319.81,01 July 2014,,Originator,,,,
12,125,Abbott Laboratories SA Pty Ltd,A39/7.1.3/0531,708279001,C09AA,S3,Mavik (was Gopten) ,Trandolapril,4,mg,CAP,30,1,128.25,15.05,20.07,163.37,5.45,27 March 2014,,Originator,,,,
13,125,Abbott Laboratories SA Pty Ltd,G/2.1/209,709643001,N01AB,S5,Forane 100ml,Isoflurane ,100,ml,INF,100,1,552.13,30.98,81.63,664.75,6.65,27 March 2014,,Originator,,,,
14,125,Abbott Laboratories SA Pty Ltd,41/20.2.8/0217,710028001,J05AE,S4,Aluvia,Lopinavir,200,mg,TAB,120,1,211.64,18.05,32.16,261.85,2.18,27 March 2014,,Originator,,,,
15,,,,,,,,Ritonavir,50,mg,,,,,,,,,,,,,,,
16,125,Abbott Laboratories SA Pty Ltd,41/20.2.8/0217,710028002,J05AE,S4,Aluvia,Lopinavir,200,mg,TAB,112,1,197.53,16.85,30.01,244.39,2.18,27 March 2014,,Originator ,,,,
17,,,,,,,,Ritonavir,50,mg,,,,,,,,,,,,,,,
18,125,Abbott Laboratories SA Pty Ltd,33/11.3/0027,710256001,A08AA,S5,Ectiva 10mg,Sibutramine hydrochloride,10,mg,CAP,30,1,153,27,25.2,205.2,6.84,27 March 2014,,Generic,,,,
19,125,Abbott Laboratories SA Pty Ltd,33/11.3/0028,710257001,A08AA,S5,Ectiva 15mg,Sibutramine hydrochloride,15,mg,CAP,30,1,178.5,31.5,29.4,239.4,7.98,27 March 2014,,Generic,,,,
20,125,Abbott Laboratories SA Pty Ltd,34/3.3/0178,710392001,R05CA,S2,Mucolator,Acetylcysteine,200,mg,SAC,30,1,35.77,5.46,5.78,47.01,1.57,27 March 2014,,Generic,,,,
21,125,Abbott Laboratories SA Pty Ltd,R/3.1/71,710849109,M01AE,S3,Brufen ,Ibuprofen,600,mg,TAB,20,1,37.26,6.32,6.1,49.68,2.48,27 March 2014,,Originator,,,,
22,125,Abbott Laboratories SA Pty Ltd,R/3.1/71,710849125,M01AE,S3,Brufen ,Ibuprofen,600,mg,TAB,100,1,187.61,29.6,30.41,247.62,2.48,27 March 2014,,Originator,,,,
23,125,Abbott Laboratories SA Pty Ltd,Q/3.1/323,710857004,M01AE,S3,Brufen Paediatric,Ibuprofen,100,mg/5ml,SUS,100,1,32.66,5.11,5.28,43.05,0.43,27 March 2014,,Originator,,,,
24,125,Abbott Laboratories SA Pty Ltd,A39/7.1.3/0508,714624001,C09BB,S3,Tarka Bilayer,Verapamil HCl/Trandolapril,180,mg,TAB,30,1,241.83,28.34,37.83,308,10.27,27 March 2014,,Originator,,,,
25,125,Abbott Laboratories SA Pty Ltd,A39/7.1.3/0547,714625001,C09BB,S3,Tarka Bilayer,Verapamil HCl/Trandolapril,240,mg,TAB,30,1,241.83,28.34,37.83,308,10.27,27 March 2014,,Originator,,,,
26,125,Abbott Laboratories SA Pty Ltd,43/20.2.8/0356,715433001,J05AE,S4,Aluvia 100/25,Lopinavir/,100,mg,TAB,60,1,52.92,4.51,8.04,65.47,1.09,27 March 2014,,Generic,,,,
27,,,,,,,,Ritonavir,25,mg,,,,,,,,,,,,,,,
28,125,Abbott Laboratories SA Pty Ltd,43/20.2.8/0356,715433002,J05AE,S4,Aluvia 100/25,Lopinavir,100,mg,TAB,56,1,49.39,4.21,7.5,61.11,1.09,27 March 2014,,Originator ,,,,
29,,,,,,,,Ritonavir,25,mg,,,,,,,,,,,,,,,
30,125,Abbott Laboratories SA Pty Ltd,37/30.2/0252,716266001,L04AB,S4,Humira 40mg,Adalimumab,40,mg/0.8ml,PED,0.8,2,7090.6,375.79,1045.29,8511.68,5319.8,01 July 2014,,Originator,,,,
31,125,Abbott Laboratories SA Pty Ltd,42/21.3/0670,716571001,H03A0,S3,Synthroid 25 µg,Levothyroxine Sodium,25,µg,TAB,90,1,40.1,2.41,5.95,48.45,0.54,27 March 2014,,Originator,,,,
32,125,Abbott Laboratories SA Pty Ltd,42/21.3/0671,716574001,H03A0,S3,Synthroid 50 µg,Levothyroxine Sodium,50,µg,TAB,90,1,52.29,3.14,7.76,63.19,0.7,27 March 2014,,Originator,,,,
33,125,Abbott Laboratories SA Pty Ltd,42/21.3/0673,716575001,H03A0,S3,Synthroid 88 µg,Levothyroxine Sodium,88,µg,TAB,90,1,66.24,3.97,9.83,80.05,0.89,27 March 2014,,Originator,,,,
34,125,Abbott Laboratories SA Pty Ltd,42/21.3/0674,716576001,H03A0,S3,Synthroid 100 µg,Levothyroxine Sodium,100,µg,TAB,90,1,74.08,4.45,10.99,89.52,0.99,27 March 2014,,Originator,,,,
35,125,Abbott Laboratories SA Pty Ltd,42/21.3/0675,716577001,H03A0,S3,Synthroid 112 µg,Levothyroxine Sodium,112,µg,TAB,90,1,79.6,4.78,11.81,96.19,1.07,27 March 2014,,Originator,,,,
36,125,Abbott Laboratories SA Pty Ltd,H646 Act 101 of 1965,734071001,C08DA,S3,Isoptin  40mg  ,Verapamil,40,mg,TAB,100,1,72.5,11.11,11.7,95.32,0.95,27 March 2014,,Originator,,,,
37,125,Abbott Laboratories SA Pty Ltd,H647 Act 101 of 1965,734136005,C08DA,S3,Isoptin 2ml  ,Verapamil,5,mg,INJ,5,,115.76,9.62,17.55,142.93,28.59,27 March 2014,,originator,,,,
38,125,Abbott Laboratories SA Pty Ltd,V/7.1/280,734373007,C08DA,S3,Isoptin SR,Verapamil,240,mg,SRT,30,1,140.06,23.89,22.95,186.9,6.23,27 March 2014,,Originator,,,,
39,125,Abbott Laboratories SA Pty Ltd,V/7.1/280,734373015,C08DA,S3,Isoptin  SR ,Verapamil,240,mg,TAB,100,1,488.04,58.52,76.51,623.08,6.23,27 March 2014,,Originator,,,,
40,125,Abbott Laboratories SA Pty Ltd,J/27/334,742317005,M01CC,S4,Metalcaptase ,Penicillamine,300,mg,CAP,100,1,1716.25,100.91,254.4,2071.56,20.72,27 March 2014,,Originator,,,,
41,125,Abbott Laboratories SA Pty Ltd,B1041 Act 101 of 1965,752649019,N02AA,S6,Paracodin ,Dihydrocodeine,12.1,mg/5ml,SYR,100,1,16.59,3.11,2.76,22.46,0.22,27 March 2014,,Originator,,,,
42,125,Abbott Laboratories SA Pty Ltd,B1041 Act 101 of 1965,752649027,N02AA,S6,Paracodin ,Dihydrocodeine,12.1,mg/5ml,SYR,200,1,33.17,5.35,5.39,43.91,0.22,27 March 2014,,Originator,,,,
43,125,Abbott Laboratories SA Pty Ltd,F/1.2/161,757888003,N06AA,S5,Prothiaden,Dosulepin,25,mg,CAP,100,1,173.14,26.08,27.89,227.11,2.27,27 March 2014,,Originator,,,,
44,125,Abbott Laboratories SA Pty Ltd,R/6.2/149,784869014,C01BC,S4,Rythmol,Propafenone,150,mg,TAB,100,1,514.47,46.75,78.56,639.78,6.4,27 March 2014,,Originator,,,,
45,125,Abbott Laboratories SA Pty Ltd,R/6.2/150,784877017,C01BC,S4,Rythmol,Propafenone,300,mg,TAB,100,1,1029.44,102.55,158.48,1290.47,12.9,27 March 2014,,Originator,,,,
46,125,Abbott Laboratories SA Pty Ltd,S/21.10/51,785504001,L02AE,S4,Lucrin  ,Leuprorelin,5,mg/ml,INJ,2.8,1,749.09,48.34,111.64,909.07,324.67,27 March 2014,,Generic,,,,
47,125,Abbott Laboratories SA Pty Ltd,RX/5.1/252,787736015,R03CA,S1,Ephedrine sulf 1ml ,Ephedrine,50,mg/ml,INJ,1,10,274.16,13.63,40.29,328.08,32.81,01 July 2014,,Originator,,,,
48,125,Abbott Laboratories SA Pty Ltd,Y/3.1/13,793671019,M01AE,S3,Brufe Retard,Ibuprofen,800,mg,TAB,60,1,257.91,32.21,40.62,330.74,5.51,27 March 2014,,Originator,,,,
49,125,Abbott Laboratories SA Pty Ltd,2/10.2.2/211,797928006,R07AA,S1,Survanta 8ml ,Beractant,25,mg/ml,INJ,8,1,6493.26,286.93,949.23,7729.42,966.18,27 March 2014,,Originator,,,,
50,125,Abbott Laboratories SA Pty Ltd,H630 Act 101 of 1965,802638007,C01CA,S1,Phenylephrine HCL  ,Phenylephrine,10,mg/ml,INJ,10,1,547.29,44.34,82.83,674.45,67.45,27 March 2014,,Originator,,,,
51,125,Abbott Laboratories SA Pty Ltd,H630 Act 101 of 1965,802638008,C01CA,S1,Phenylephedrine,Phenylephrine HCL,10,mg/ml,INJ,5,1,273.65,22.17,41.41,337.23,67.45,27 March 2014,,Originator,,,,
52,125,Abbott Laboratories SA Pty Ltd,28/7.1.3/0261,805033017,C09AA,S3,Mavik (was Gopten) ,Trandolapril,0.5,mg,CAP,30,1,124.02,13.84,19.31,157.17,5.24,27 March 2014,,Originator,,,,
53,125,Abbott Laboratories SA Pty Ltd,28/7.1.3/0263,805068015,C09AA,S3,Mavik (was Gopten) ,Trandolapril,2,mg,CAP,30,1,122.63,15.23,19.31,157.17,5.24,27 March 2014,,Originator,,,,
54,125,Abbott Laboratories SA Pty Ltd,27/7.1/0519,806358009,G04CA,S4,Hytrin ,Terazosin,1,mg,TAB,10,1,78.83,8.61,12.24,99.67,9.97,27 March 2014,,Originator,,,,
55,125,Abbott Laboratories SA Pty Ltd,27/7.1/0520,806366028,G04CA,S4,Hytrin ,Terazosin,2,mg,TAB,28,1,180.16,19.93,28.02,228.12,8.15,27 March 2014,,Originator,,,,
56,125,Abbott Laboratories SA Pty Ltd,27/7.1/0521,806374004,G04CA,S4,Hytrin ,Terazosin,5,mg,TAB,28,1,328.72,35.94,51.06,415.71,14.85,27 March 2014,,Originator,,,,
57,125,Abbott Laboratories SA Pty Ltd,27/21.10/0370,806382007,L02AE,S4,Lucrin 3.75mg,Leuprorelin,3.75,mg,INJ,2,1,1522.93,96.21,226.68,1845.82,922.91,27 March 2014,,Generic,,,,
58,125,Abbott Laboratories SA Pty Ltd,27/7.1/0522,810207001,G04CA,S4,Hytrin ,Terazosin,10,mg,TAB,28,1,578.51,66.54,90.3,735.35,26.26,27 March 2014,,Originator,,,,
59,125,Abbott Laboratories SA Pty Ltd,28/20.1.1/0264,813826004,J01FA,S4,Klacid i v,Clarithromycin,500,mg,INJ,10,1,173.03,11.93,25.9,210.86,21.09,27 March 2014,,Originator,,,,
60,125,Abbott Laboratories SA Pty Ltd,29/2.1/0748,820326003,N01AB,S5,Ultane penbottle,Sevoflurane,250,ml,SLN,250,1,1602.14,102.13,238.6,1942.87,7.77,27 March 2014,,Originator,,,,
61,125,Abbott Laboratories SA Pty Ltd,Q/20.1.1/248,828769001,D10AF,S4,Eryderm  Top Soln 60ml  ,Erythromycin,1200,mg/60ml,LOT,60,1,85.45,10.65,13.45,109.55,1.83,27 March 2014,,Originator,,,,
62,125,Abbott Laboratories SA Pty Ltd,28/20.1.1/0035,830046003,J01FA,S4,Klacid P125  ,Clarithromycin,125,mg/5ml,SUS,50,1,90.67,8.62,13.9,113.2,2.26,27 March 2014,,Originator,,,,
63,125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0190,830054006,J01FA,S4,Klacid P250  ,Clarithromycin,250,mg/5ml,SUS,50,1,157.03,14.93,24.07,196.04,3.92,27 March 2014,,Originator,,,,
64,125,Abbott Laboratories SA Pty Ltd,F/2.1/115,835773019,N01AB,S5,Ethrane 250ml,Enflurane,250,ml,SLN,250,1,825.04,36.79,120.66,982.5,3.93,27 March 2014,,Originator,,,,
65,125,Abbott Laboratories SA Pty Ltd,34/20.2.8/0175,836095014,J05AE,S4,Norvir,Ritonavir,100,mg,CAP,84,1,57.38,4.81,8.7,70.9,0.84,27 March 2014,,Originator,,,,
66,125,Abbott Laboratories SA Pty Ltd,31/7.1.3/0631,836680006,C09BB,S3,Tarka,Verapamil HCL,180,mg,SRC,30,1,236.77,27.74,37.04,301.55,10.05,27 March 2014,,Generic,,,,
67,125,Abbott Laboratories SA Pty Ltd,31/20.2.8/0217,838527035,J05AE,S4,Norvir,Ritonavir,80,mg/ml,SOL,90,1,49.04,4.21,7.46,60.7,0.67,27 March 2014,,Originator,,,,
68,125,Abbott Laboratories SA Pty Ltd,31/20.2.2/0379,841552002,J01FA,S4,Klacid XL ,Clarithromycin,500,mg,SRT,5,1,129.96,11.72,19.83,161.51,32.3,27 March 2014,,Originator,,,,
69,125,Abbott Laboratories SA Pty Ltd,31/20.2.2/0379,841552003,J01FA,S4,Klacid XL 10,Clarithromycin,500,mg,TAB,10,1,267.65,15.71,39.67,323.03,32.3,27 March 2014,,Originator,,,,
70,125,Abbott Laboratories SA Pty Ltd,33/11.3/0025,847844005,A08AA,S5,Reductil 10  ,Sibutramine,10,mg,CAP,30,1,207.93,25.83,32.73,266.49,8.88,27 March 2014,,Originator,,,,
71,125,Abbott Laboratories SA Pty Ltd,33/11.3/0026,853534004,A08AA,S5,Reductil 15  ,Sibutramine,15,mg,CAP,30,1,245.24,33.84,39.07,318.16,10.61,27 March 2014,,Originator,,,,
72,125,Abbott Laboratories SA Pty Ltd,32/21.10/0317,875295002,L02AE,S4,Lucrin  11.25 mg,Leuprorelin,11.25,mg,INJ,2,1,3803.57,245.68,566.9,4616.15,2308.07,27 March 2014,,Generic,,,,
73,125,Abbott Laboratories SA Pty Ltd,34/30.2/0240,883856005,J06BB,S4,Synagis,Palivizumab,50,mg,INJ,1,1,5998.96,239.96,873.45,7112.37,7112.37,27 March 2014,,Originator,,,,
74,125,Abbott Laboratories SA Pty Ltd,34/30.2/0241,883864001,J06BB,S4,Synagis,Palivizumab,100,mg,INJ,1,1,9703.83,388.16,1412.87,11504.85,11504.85,27 March 2014,,Originator,,,,
75,,,,,,,,Trandolapril,2,mg,,,,,,,,,,,,,,,
76,125,Abbott Laboratories SA Pty Ltd,2/10.2.2/211,894184008,R07AA,S1,Survanta 4ml ,Beractant,25,mg/ml,INJ,4,1,3246.02,144.08,474.62,3864.71,966.18,27 March 2014,,Originator,,,,
77,985,Accord Healthcare (Pty) Ltd,41/26/1003,712643001,L01XX,S4,Irinotas ,Irinotecan hydrochloride ,20,mg/ml,INJ,2,1,292.5,32.5,45.5,370.5,185.25,03 July 2014,,Generic,,,,
78,985,Accord Healthcare (Pty) Ltd,44/26/0024,712873001,L01XX,S4,Irinotas 100,Irinotecan hydrochloride,20,mg/ml,INJ,5,1,738,82,114.8,934.8,186.96,03 July 2014,,Generic,,,,
79,985,Accord Healthcare (Pty) Ltd,42/2.6.5/0159,713964001,N05AX,S5,Rispacor 4 ,Risperidone,4,mg,TAB,30,1,804.53,89.39,125.14,1019.06,33.97,03 July 2014,,Generic,,,,
80,985,Accord Healthcare (Pty) Ltd,42/2.6.5/0158,713965001,N05AX,S5,Rispacor 3,Risperidone,3,mg,TAB,30,1,502.1,55.79,78.11,636,21.2,16 July 2014,,Generic,,,,
81,985,Accord Healthcare (Pty) Ltd,42/2.6.5/0157,713966001,N05AX,S5,Rispacor 2,Risperidone,2,mg,TAB,30,1,361.33,40.15,56.2,457.68,15.26,03 July 2014,,Generic,,,,
82,985,Accord Healthcare (Pty) Ltd,42/2.6.5/0156,713967001,N05AX,S5,Rispacor 1,Risperidone,1,mg,TAB,30,1,213.11,23.68,33.15,269.94,9,03 July 2014,,Generic,,,,
83,985,Accord Healthcare (Pty) Ltd,41/7.1/0659,713971001,C08CA,S3,Amtas 5 ,Amlodipine Besilate,5,mg,TAB,30,1,46.19,5.13,7.18,58.5,1.95,16 July 2014,,Generic,,,,
84,985,Accord Healthcare (Pty) Ltd,41/7.1/0660,713972001,C08CA,S3,Amtas 10 ,Amlodipine Besilate,10,mg,TAB,30,1,72.75,8.08,11.32,92.15,3.07,16 July 2014,,Generic,,,,
85,985,Accord Healthcare (Pty) Ltd,42/2.6.5/0155,714101001,N05AX,S5,Rispacor 0.5,Risperidone,0.5,mg,TAB,30,1,111.45,12.38,17.33,141.16,4.71,03 July 2014,,Generic,,,,
86,985,Accord Healthcare (Pty) Ltd,41/21.2/0640,714426001,A10BA,S3,Accord Metformin 850,Metformin Hydrochloride,850,mg,TAB,60,1,29.37,3.26,4.57,37.2,0.62,03 July 2014,,Generic,,,,
87,985,Accord Healthcare (Pty) Ltd,41/21.2/0639,714427001,A10BA,S3,Accord Metformin 500,Metformin Hydrochloride,500,mg,TAB,100,1,27.09,3.01,4.21,34.31,0.34,03 July 2014,,Generic,,,,
88,985,Accord Healthcare (Pty) Ltd,42/26/0089,715322001,L01BC,S4,Cytigem 200 mg ,Gemcitabine Hydrochloride,200,mg/10ml,INJ,10,1,234.4,26.04,36.46,296.9,29.69,29 October 2014,,Generic,,,,
89,985,Accord Healthcare (Pty) Ltd,42/26/0902,715323001,L01BC,S4,Cytigem 1 g ,Gemcitabine Hydrochloride,1,g/50ml,INJ,50,1,1171.97,130.22,182.31,1484.5,29.69,29 October 2014,,Generic,,,,
90,985,Accord Healthcare (Pty) Ltd,42/21.12/0259,715703001,L02BG,S4,Accord Anastrozole,Anastrozole,1,mg,TAB,30,1,444.24,49.36,69.1,562.7,18.76,16 July 2014,,Generic,,,,
91,985,Accord Healthcare (Pty) Ltd,42/21.12/0323,715704001,L02BG,S4,"Accord Letrozole 2,5 mg",Letrozole,2.5,mg,TAB,30,1,350.46,38.94,54.52,443.92,14.8,15 August 2014,,Generic,,,,
92,985,Accord Healthcare (Pty) Ltd,42/21.12/0431,715705001,L02BB,S4,Accord Bicalutamide 50 mg,Bicalutamide,50,mg,TAB,30,1,422.37,46.93,65.7,535,17.83,16 July 2014,,Generic,,,,
93,985,Accord Healthcare (Pty) Ltd,42/7.5/0372,715709001,C10AA,S4,Pixeta 10,Pravastatin Sodium,10,mg,TAB,30,1,104.38,11.6,16.24,132.22,4.41,03 July 2014,,Generic,,,,
94,985,Accord Healthcare (Pty) Ltd,42/7.5/0373,715710001,C10AA,S4,Pixeta 20,Pravastatin Sodium,20,mg,TAB,30,1,114.37,12.71,17.79,144.87,4.83,03 July 2014,,Generic,,,,
95,985,Accord Healthcare (Pty) Ltd,42/7.5/0358,715711001,C10AA,S4,Pixeta 40,Pravastatin Sodium,40,mg,TAB,30,1,157.58,17.51,24.51,199.6,6.65,03 July 2014,,Generic,,,,
96,985,Accord Healthcare (Pty) Ltd,42/3.2/1015,715712001,M05BA,S4,Ostena 10,Alendronate Sodium ,10,mg,TAB,28,1,146.14,16.24,22.73,185.11,6.61,03 July 2014,,Generic,,,,
97,985,Accord Healthcare (Pty) Ltd,42/3.2/1016,715713001,M05BA,S3,Ostena 70,Alendronate Sodium,70,mg,TAB,4,1,134.51,14.94,20.92,170.37,42.59,03 July 2014,,Generic,,,,
98,985,Accord Healthcare (Pty) Ltd,42/21.12/0324,715718001,L02BG,S4,Laradex,Letrozole,2.5,mg,TAB,30,1,742.34,82.48,115.48,940.3,31.34,03 July 2014,,Generic,,,,
99,985,Accord Healthcare (Pty) Ltd,42/21.12/0324,715718001,L02BG,S4,Laradex,Letrozole,2.5,mg,TAB,30,1,742.34,82.48,115.48,940.3,31.34,03 July 2014,,Generic,,,,
100,985,Accord Healthcare (Pty) Ltd,42/21.12/0260,715720001,L02BG,S4,Stradexa,Anastrozole,1,mg,TAB,30,1,396.9,44.1,61.74,502.74,16.76,06 November 2014,,Generic,,,,
101,985,Accord Healthcare (Pty) Ltd,42/21.12/0430,715721001,L02BB,S4,Caloxa 50 mg,Bicalutamide,50,mg,TAB,30,1,394.2,43.8,61.32,499.32,16.64,06 November 2014,,Generic,,,,
102,985,Accord Healthcare (Pty) Ltd,42/7.3/0356,715852001,N02CC,S4,Accord Sumatriptan 50 mg,Sumatriptan ,50,mg,TAB,2,1,65.04,7.23,10.12,82.39,41.2,03 July 2014,,Generic,,,,
103,985,Accord Healthcare (Pty) Ltd,42/7.3/0357,715853001,N02CC,S4,Accord Sumatriptan 100 mg,Sumatriptan,100,mg,TAB,4,1,157.46,17.5,24.49,199.45,49.86,03 July 2014,,Generic,,,,
104,985,Accord Healthcare (Pty) Ltd,42/3.2/1013,715854001,M05BA,S3,Accord Alendronate 10,Alendronic Acid,10,mg,TAB,28,1,149.24,16.58,23.21,189.03,6.75,03 July 2014,,Generic,,,,
105,985,Accord Healthcare (Pty) Ltd,42/3.2/1014,715855001,M05BA,S3,Accord Alendronate 70,Alendronic Acid,70,mg,TAB,4,1,164.67,18.3,25.61,208.58,52.15,03 July 2014,,Generic,,,,
106,985,Accord Healthcare (Pty) Ltd,42/7.1.3/0325,715856001,C09DA,S3,"Losaar Plus 50/12,5",Losartan Potassium ,50,mg,TAB,30,1,57.24,6.36,8.9,72.5,2.42,03 July 2014,,Generic,,,,
107,,,,,,,,Hydrochlorothiazide,12.5,mg,,,,,,,,,,,,,,,
108,985,Accord Healthcare (Pty) Ltd,42/7.1.3/0326,715857001,C09DA,S3,Losaar Plus 100/25,Losartan Potassium ,100,mg,TAB,30,1,61.74,6.86,9.6,78.2,2.61,03 July 2014,,Generic,,,,
109,,,,,,,,Hydrochlorothiazide,25,mg,,,,,,,,,,,,,,,
110,985,Accord Healthcare (Pty) Ltd,41/11.4.3/0663,715885001,A02BC,S4,Accord Omeprazole 40 mg Injection,Omeprazole,40,mg,INJ,1,1,31.86,3.54,4.95,40.35,40.35,03 July 2014,,Generic,,,,
111,985,Accord Healthcare (Pty) Ltd,42/26/0153,716228001,L01DB,S4,Accord Epirubicin 10,Epirubicin Hydrochloride,2,mg/ml,INJ,5,1,107.68,11.96,16.75,136.39,27.28,03 July 2014,,Generic,,,,
112,985,Accord Healthcare (Pty) Ltd,42/26/0900,716239001,L01DB,S4,Accord Epirubicin 50,Epirubicin Hydrochloride,2,mg/ml,INJ,25,1,454.89,50.54,70.76,576.19,23.05,03 July 2014,,Generic,,,,
113,985,Accord Healthcare (Pty) Ltd,42/26/0152,716240001,L01DB,S4, Epicord 10,Epirubicin Hydrochloride,2,mg/ml,INJ,5,1,101.76,11.31,15.83,128.89,25.78,03 July 2014,,Generic,,,,
114,985,Accord Healthcare (Pty) Ltd,42/26/0897,716241001,L01DB,S4, Epicord 50,Epirubicin Hydrochloride,2,mg/ml,INJ,25,1,508.82,56.54,79.15,644.5,25.78,03 July 2014,,Generic,,,,
115,985,Accord Healthcare (Pty) Ltd,41/21.2/0656,716714001,A10BB,S3,Accord Glimepiride 1 mg,Glimepiride ,1,mg,TAB,30,1,34.34,3.81,5.34,43.49,1.45,03 July 2014,,Generic,,,,
116,985,Accord Healthcare (Pty) Ltd,41/21.2/0657,716715001,A10BB,S3,Accord Glimepiride 2 mg,Glimepiride ,2,mg,TAB,30,1,67.93,7.55,10.57,86.05,2.87,03 July 2014,,Generic,,,,
117,985,Accord Healthcare (Pty) Ltd,41/21.2/0658,716716001,A10BB,S3,Accord Glimepiride 4 mg,Glimepiride ,4,mg,TAB,30,1,107.29,11.92,16.69,135.9,4.53,03 July 2014,,Generic,,,,
118,985,Accord Healthcare (Pty) Ltd,43/21.12/0056,716739001,G04CB,S4,Accord Finasteride 5 mg ,Finasteride,5,mg,TAB,30,1,161.07,17.9,25.05,204.02,6.8,03 July 2014,,Generic,,,,
119,985,Accord Healthcare (Pty) Ltd,43/21.12/0058,716741001,G04CB,S4,Intas Finasteride 5 mg ,Finasteride,5,mg,TAB,30,1,142.38,15.82,22.15,180.35,6.01,03 July 2014,,Generic,,,,
120,985,Accord Healthcare (Pty) Ltd,44/26/0374,717008001,L01CD,S4,Paxitas 30,Paclitaxel,30,mg/5ml,INJ,5,1,126.35,14.04,19.66,160.05,32.01,26 November 2014,,Generic,,,,
121,985,Accord Healthcare (Pty) Ltd,44/26/0375,717009001,L01CD,S4,Paxitas 100,Paclitaxel ,100,mg/16.7ml,INJ,16.7,1,422.03,46.89,65.65,534.57,32.01,26 November 2014,,Generic,,,,
122,985,Accord Healthcare (Pty) Ltd,44/26/0376,717011001,L01CD,S4,Paxitas 300,Paclitaxel ,300,mg/50ml,INJ,50,1,1263.55,140.39,196.55,1600.5,32.01,26 November 2014,,Generic,,,,
123,985,Accord Healthcare (Pty) Ltd,42/5.10/0891,717049001,A04AA,S4,Alepet 4,Ondansetron ,4, mg/2ml,INJ,2,5,50.92,5.66,7.92,64.5,6.45,19 November 2014,,Generic,,,,
124,985,Accord Healthcare (Pty) Ltd,42/5.10/0892,717050001,A04AA,S4,Alepet 8,Ondansetron ,8, mg/4ml,INJ,4,5,101.84,11.32,15.84,129,6.45,19 November 2014,,Generic,,,,
125,985,Accord Healthcare (Pty) Ltd,44/26/0380,717829001,L01XA,S4,Intas Oxaliplatin 50,Oxaliplatin ,5,mg/ml,INF,10,1,769.05,85.45,119.63,974.13,97.41,09 July 2014,,Generic,,,,
126,985,Accord Healthcare (Pty) Ltd,42/26/1066,717830001,L01XA,S4,Intas Oxaliplatin 100,Oxaliplatin ,5,mg/ml,INF,20,1,1538.1,170.9,239.26,1948.26,97.41,09 July 2014,,Generic,,,,
127,985,Accord Healthcare (Pty) Ltd,44/26/0964,718095001,L01AX,S4,Temintas 5,Temozolomide,5,mg,CAP,5,1,70.2,7.8,10.92,88.92,17.78,03 July 2014,,Generic,,,,
